,Affix,Root Word,Full Word
0,a,atheist,aatheist
1,a,bacillary,abacillary
2,a,bacteremic,abacteremic
3,a,bacterial,abacterial
4,a,bask,abask
5,a,be,abe
6,a,beam,abeam
7,a,beat,abeat
8,a,begging,abegging
9,a,bier,abier
10,a,biochemical,abiochemical
11,a,biogenic,abiogenic
12,a,biologic,abiologic
13,a,biological,abiological
14,a,biology,abiology
15,a,bioseston,abioseston
16,a,biosphere,abiosphere
17,a,biotic,abiotic
18,a,blare,ablare
19,a,blastema,ablastemic
20,a,blaze,ablaze
21,a,bleeze,ableeze
22,a,bloom,abloom
23,a,blow,ablow
24,a,blur,ablur
25,a,blush,ablush
26,a,bob,abob
27,a,boil,aboil
28,a,born,aborn
29,a,box,abox
30,a,branchial,abranchial
31,a,brim,abrim
32,a,bristle,abristle
33,a,bubble,abubble
34,a,bud,abud
35,a,bulge,abulge
36,a,burn,aburn
37,a,burst,aburst
38,a,burton,aburton
39,a,bustle,abustle
40,a,buzz,abuzz
41,a,calculous,acalculous
42,a,callosal,acallosal
43,a,caloric,acaloric
44,a,calymmate,acalymmate
45,a,camerate,acamerate
46,a,campomelic,acampomelic
47,a,capnotic,acapnotic
48,a,capsular,acapsular
49,a,capsulate,acapsulate
50,a,cardia,acardia
51,a,carminative,acarminative
52,a,categorical,acategorical
53,a,cathexis,acathexis
54,a,Catholic,acatholic
55,a,caudal,acaudal
56,a,caudate,acaudate
57,a,caulescent,acaulescent
58,a,cauline,acauline
59,a,causal,acausal
60,a,causality,acausality
61,a,cellular,acellular
62,a,cellularity,acellularity
63,a,celom,acelom
64,a,centrically,acentrically
65,a,centriolar,acentriolar
66,a,centromeric,acentromeric
67,a,centrosomal,acentrosomal
68,a,cephalia,acephalia
69,a,cephalic,acephalic
70,a,cephaly,acephaly
71,a,ceramic,aceramic
72,a,cerebellar,acerebellar
73,a,cerebral,acerebral
74,a,chelate,achelate
75,a,chiasmatic,achiasmatic
76,a,chiral,achiral
77,a,chirotopic,achirotopic
78,a,chlorhydria,achlorhydria
79,a,chlorophyllaceous,achlorophyllaceous
80,a,cholic,acholic
81,a,choluria,acholuria
82,a,choluric,acholuric
83,a,chondrite,achondrite
84,a,chondrogenesis,achondrogenesis
85,a,chordal,achordal
86,a,chordate,achordate
87,a,chrestic,achrestic
88,a,chromatinic,achromatinic
89,a,chromosomal,achromosomal
90,a,chronal,achronal
91,a,chronic,achronic
92,a,chronological,achronological
93,a,chylic,achylic
94,a,clang,aclang
95,a,cleithral,acleithral
96,a,clinal,aclinal
97,a,clinical,aclinical
98,a,clonal,aclonal
99,a,cock,acock
100,a,cockbill,acockbill
101,a,coelomate,acoelomate
102,a,cognitive,acognitive
103,a,collinear,acollinear
104,a,collinearity,acollinearity
105,a,conative,aconative
106,a,conidial,aconidial
107,a,conidiate,aconidiate
108,a,contextual,acontextual
109,a,cosmic,acosmic
110,a,cotyledon,acotyledon
111,a,cotyledonous,acotyledonous
112,a,cracy,acracy
113,a,cranial,acranial
114,a,crawl,acrawl
115,a,critical,acritical
116,a,crook,acrook
117,a,crystalliferous,acrystalliferous
118,a,cultural,acultural
119,a,cyanogenic,acyanogenic
120,a,cyanophilous,acyanophilous
121,a,cyanosis,acyanosis
122,a,cyclic,acyclic
123,a,cyclical,acyclical
124,a,cyclicity,acyclicity
125,a,cylindric,acylindric
126,a,cylindrical,acylindrical
127,a,cytokinetic,acytokinetic
128,a,dactyly,adactyly
129,a,dance,adance
130,a,dangle,adangle
131,a,deciduate,adeciduate
132,a,delomorphous,adelomorphous
133,a,dendritic,adendritic
134,a,despotic,adespotic
135,a,dharmic,adharmic
136,a,diabolist,adiabolist
137,a,diactinic,adiactinic
138,a,dialectal,adialectal
139,a,diaphanous,adiaphanous
140,a,diathermic,adiathermic
141,a,dimensional,adimensional
142,a,dimensionalised,adimensionalised
143,a,dipsia,adipsia
144,a,dither,adither
145,a,dogmatic,adogmatic
146,a,doom,addoom
147,a,doze,adoze
148,a,dread,adread
149,a,dreamed,adreamed
150,a,drift,adrift
151,a,drip,adrip
152,a,droop,adroop
153,a,drowse,adrowse
154,a,dry,adry
155,a,dynamic,adynamic
156,a,dysplasia,adysplasia
157,a,face,aface
158,a,far,afar
159,a,febrile,afebrile
160,a,fetal,afetal
161,a,fibrillar,afibrillar
162,a,field,afield
163,a,fimbrial,afimbrial
164,a,fimbriate,afimbriate
165,a,fire,afire
166,a,flagellar,aflagellar
167,a,flagellate,aflagellate
168,a,flagellated,aflagellated
169,a,flame,aflame
170,a,flare,aflare
171,a,flash,aflash
172,a,flat,aflat
173,a,flaunt,aflaunt
174,a,flicker,aflicker
175,a,flight,aflight
176,a,float,afloat
177,a,flop,aflop
178,a,flow,aflow
179,a,flower,aflower
180,a,flush,aflush
181,a,flutter,aflutter
182,a,foam,afoam
183,a,focal,afocal
184,a,foot,afoot
185,a,foul,afoul
186,a,foveate,afoveate
187,a,front,afront
188,a,froth,afroth
189,a,fucosylated,afucosylated
190,a,functional,afunctional
191,a,galactosylated,agalactosylated
192,a,gamete,agamete
193,a,gamic,agamic
194,a,gamospermy,agamospermy
195,a,gamous,agamous
196,a,gamy,agamy
197,a,ganglionic,aganglionic
198,a,gape,agape
199,a,gasp,agasp
200,a,gastric,agastric
201,a,gelastic,agelastic
202,a,gender,agender
203,a,gendered,agendered
204,a,genesis,agenesis
205,a,genetic,agenetic
206,a,genital,agenital
207,a,geostrophic,ageostrophic
208,a,geotropic,ageotropic
209,a,glare,aglare
210,a,gleam,agleam
211,a,glimmer,aglimmer
212,a,glint,aglint
213,a,glitter,aglitter
214,a,glomerular,aglomerular
215,a,glossal,aglossal
216,a,glow,aglow
217,a,glycemia,aglycemia
218,a,glycemic,aglycemic
219,a,glyconic,aglyconic
220,a,glycosuria,aglycosuria
221,a,glycosylated,aglycosylated
222,a,glyph,aglyph
223,a,goggled,agoggled
224,a,going,agoing
225,a,gonadal,agonadal
226,a,good,agood
227,a,grammatical,agrammatical
228,a,granular,agranular
229,a,granulocyte,agranulocyte
230,a,gravic,agravic
231,a,gravitropic,agravitropic
232,a,gravitropism,agravitropism
233,a,grief,agrief
234,a,grin,agrin
235,a,grope,agrope
236,a,gush,agush
237,a,gyrotropy,agyrotropy
238,a,haptoglobinaemia,ahaptoglobinaemia
239,a,haustral,ahaustral
240,a,head,ahead
241,a,heap,aheap
242,a,height,aheight
243,a,hemeral,ahemeral
244,a,hermatypic,ahermatypic
245,a,hierarchical,ahierarchical
246,a,high,ahigh
247,a,hind,ahind
248,a,historic,ahistoric
249,a,historical,ahistorical
250,a,hold,ahold
251,a,horse,ahorse
252,a,horseback,ahorseback
253,a,hull,ahull
254,a,hungered,ahungered
255,a,hungry,ahungry
256,a,jangle,ajangle
257,a,jingle,ajingle
258,a,jog,ajog
259,a,kilter,akilter
260,a,kinesis,akinesis
261,a,kinesthesia,akinesthesia
262,a,kinetic,akinetic
263,a,knee,aknee
264,a,kreophagist,akreophagist
265,a,kreophagy,akreophagy
266,a,lactic,alactic
267,a,lalia,alalia
268,a,laryngeal,alaryngeal
269,a,leak,aleak
270,a,lecithal,alecithal
271,a,left,aleft
272,a,legal,alegal
273,a,length,alength
274,a,lepidote,alepidote
275,a,lete,alete
