,Affix,Root Word,Full Word
0,ical,Abraham,Abrahamical
1,ical,acanthology,acanthological
2,ical,accentology,accentological
3,ical,actinology,actinological
4,ical,Adam,Adamical
5,ical,adenology,adenological
6,ical,adhocracy,adhocratical
7,ical,adoxography,adoxographical
8,ical,aerology,aerological
9,ical,aeronomy,aeronomical
10,ical,Aesop,Aesopical
11,ical,agathology,agathological
12,ical,agnotology,agnotological
13,ical,agrobiology,agrobiological
14,ical,agrostology,agrostological
15,ical,alethiology,alethiological
16,ical,algometry,algometrical
17,ical,allergology,allergological
18,ical,allotype,allotypical
19,ical,alphabet,alphabetical
20,ical,amphibiology,amphibiological
21,ical,Amphidromia,amphidromical
22,ical,analogy,analogical
23,ical,anapaest,anapaestical
24,ical,anapest,anapestical
25,ical,anarchy,anarchical
26,ical,andrology,andrological
27,ical,anecdote,anecdotical
28,ical,anesthesiology,anesthesiological
29,ical,angel,angelical
30,ical,anthology,anthological
31,ical,anthracology,anthracological
32,ical,anthropology,anthropological
33,ical,anthropometry,anthropometrical
34,ical,anthroponomy,anthroponomical
35,ical,anthropotomy,anthropotomical
36,ical,antidote,antidotical
37,ical,aphasiology,aphasiological
38,ical,aphidology,aphidological
39,ical,apiology,apiological
40,ical,apologue,apological
41,ical,araneology,araneological
42,ical,archaeology,archaeological
43,ical,archeology,archeological
44,ical,archetype,archetypical
45,ical,arcology,arcological
46,ical,aristocrat,aristocratical
47,ical,arkeology,arkeological
48,ical,Armenology,Armenological
49,ical,arthrology,arthrological
50,ical,arthropodology,arthropodological
51,ical,Assyriology,Assyriological
52,ical,astacology,astacological
53,ical,astroglaciology,astroglaciological
54,ical,astronaut,astronautical
55,ical,atheist,atheistical
56,ical,atmology,atmological
57,ical,atmosphere,atmospherical
58,ical,atopy,atopical
59,ical,audiology,audiological
60,ical,autarky,autarkical
61,ical,autocrat,autocratical
62,ical,auxology,auxological
63,ical,axiology,axiological
64,ical,Babylon,Babylonical
65,ical,Balaamite,Balaamitical
66,ical,balenology,balenological
67,ical,balneology,balneological
68,ical,balsam,balsamical
69,ical,baraminology,baraminological
70,ical,baronet,baronetical
71,ical,battology,battological
72,ical,bible,biblical
73,ical,biocoenology,biocoenological
74,ical,biography,biographical
75,ical,biology,biological
76,ical,biotechnology,biotechnological
77,ical,bombast,bombastical
78,ical,botany,botanical
79,ical,Brahman,Brahmanical
80,ical,bromatology,bromatological
81,ical,bronchoscopy,bronchoscopical
82,ical,bryology,bryological
83,ical,bumpology,bumpological
84,ical,Byzantinology,Byzantinological
85,ical,cacoethes,cacoethical
86,ical,cacophony,cacophonical
87,ical,calendar,calendrical
88,ical,campanology,campanological
89,ical,cancerology,cancerological
90,ical,canon,canonical
91,ical,carcinology,carcinological
92,ical,cardiology,cardiological
93,ical,cariology,cariological
94,ical,carpology,carpological
95,ical,cenobite,cenobitical
96,ical,cetology,cetological
97,ical,chaology,chaological
98,ical,characteriology,characteriological
99,ical,characterology,characterological
100,ical,charlatan,charlatanical
101,ical,chemist,chemistical
102,ical,chemurgy,chemurgical
103,ical,cherology,cherological
104,ical,cherub,cherubical
105,ical,chirology,chirological
106,ical,choreomusicology,choreomusicological
107,ical,chorography,chorographical
108,ical,chorology,chorological
109,ical,Christology,Christological
110,ical,chromatography,chromatographical
111,ical,church,churchical
112,ical,cineradiography,cineradiographical
113,ical,clergy,clergical
114,ical,climatology,climatological
115,ical,clonology,clonological
116,ical,coccidology,coccidological
117,ical,codicology,codicological
118,ical,coenobite,coenobitical
119,ical,coloproctology,coloproctological
120,ical,cometography,cometographical
121,ical,comitology,comitological
122,ical,commonsense,commonsensical
123,ical,conchology,conchological
124,ical,coprology,coprological
125,ical,cosmetology,cosmetological
126,ical,cosmogony,cosmogonical
127,ical,cosmonaut,cosmonautical
128,ical,coxcomb,coxcombical
129,ical,craniology,craniological
130,ical,craniometry,craniometrical
131,ical,criminology,criminological
132,ical,criteriology,criteriological
133,ical,crustaceology,crustaceological
134,ical,cryptology,cryptological
135,ical,crystallography,crystallographical
136,ical,cylinder,cylindrical
137,ical,cynology,cynological
138,ical,cytology,cytological
139,ical,cytopharmacology,cytopharmacological
140,ical,cytotoxicology,cytotoxicological
141,ical,Dacology,Dacological
142,ical,dactylology,dactylological
143,ical,Darwin,Darwinical
144,ical,deltiology,deltiological
145,ical,demon,demonical
146,ical,dendrology,dendrological
147,ical,dentist,dentistical
148,ical,deontology,deontological
149,ical,dermatology,dermatological
150,ical,dialogue,dialogical
151,ical,diapophysis,diapophysical
152,ical,diffeology,diffeological
153,ical,dipterology,dipterological
154,ical,dome,domical
155,ical,dosology,dosological
156,ical,dramatology,dramatological
157,ical,dramaturgy,dramaturgical
158,ical,dropsy,dropsical
159,ical,Druid,Druidical
160,ical,dynasty,dynastical
161,ical,ecclesiology,ecclesiological
162,ical,echocardiography,echocardiographical
163,ical,ecology,ecological
164,ical,ecosophy,ecosophical
165,ical,educology,educological
166,ical,ego,egoical
167,ical,egology,egological
168,ical,Egyptology,Egyptological
169,ical,electrometry,electrometrical
170,ical,electromyography,electromyographical
171,ical,elench,elenchical
172,ical,enantiomer,enantiomerical
173,ical,encrinite,encrinitical
174,ical,endemiology,endemiological
175,ical,endocrinology,endocrinological
176,ical,endodontology,endodontological
177,ical,ἐννέα,enneatical
178,ical,enterology,enterological
